,weight,total_income,pitax,table_row
12826,20.96207025411061,0.0,0.0,1
90621,20.96207025411061,0.0,0.0,1
79920,20.96207025411061,0.0,0.0,1
79944,20.96207025411061,0.0,0.0,1
9961,20.96207025411061,0.0,0.0,1
18909,20.96207025411061,0.0,0.0,1
6402,20.96207025411061,0.0,0.0,1
23874,20.96207025411061,0.0,0.0,1
72897,20.96207025411061,0.0,0.0,1
26094,20.96207025411061,0.0,0.0,1
33131,20.96207025411061,0.0,0.0,1
60110,20.96207025411061,0.0,0.0,1
29183,20.96207025411061,0.0,0.0,1
87417,20.96207025411061,0.0,0.0,1
15542,20.96207025411061,0.0,0.0,1
15539,20.96207025411061,0.0,0.0,1
15560,20.96207025411061,0.0,0.0,1
64961,20.96207025411061,0.0,0.0,1
40488,20.96207025411061,0.0,0.0,1
33167,20.96207025411061,0.0,0.0,1
64037,20.96207025411061,0.0,0.0,1
21102,20.96207025411061,0.0,0.0,1
58785,20.96207025411061,0.0,0.0,1
45402,20.96207025411061,0.0,0.0,1
66591,20.96207025411061,0.0,0.0,1
48482,20.96207025411061,0.0,0.0,1
97193,20.96207025411061,0.0,0.0,1
91705,20.96207025411061,0.0,0.0,1
45371,20.96207025411061,0.0,0.0,1
10005,20.96207025411061,0.0,0.0,1
45387,20.96207025411061,0.0,0.0,1
85305,20.96207025411061,0.0,0.0,1
