id_n,Year,income_wage_l,income_dividends_c,income_interest_c,total_gross_income,pitax_w,pitax_c,pitax
86503,2018,1626158,409860,0,2036018,206308,40986,247294
102019,2018,71758,4000000,0,4071758,7176,400000,407176
122757,2018,1654334,0,0,1654334,211380,0,211380
136782,2018,1109544,0,0,1109544,113318,0,113318
124573,2018,0,0,0,0,0,0,0
104044,2018,534204,3388887,0,3923091,53420,338889,392309
142893,2018,1405497,40448,0,1445945,166589,4045,170634
114261,2018,1048746,57240,0,1105986,104875,5724,110599
124215,2018,267829,0,0,267829,26783,0,26783
100452,2018,2078257,0,0,2078257,287686,0,287686
88997,2018,0,0,0,0,0,0,0
140572,2018,1124730,142746,0,1267476,116051,14275,130326
84912,2018,600978,0,0,600978,60098,0,60098
134388,2018,1487008,5168,0,1492176,181261,517,181778
104372,2018,11476556,0,0,11476556,1979380,0,1979380
133290,2018,1193016,0,0,1193016,128343,0,128343
147147,2018,1277428,0,0,1277428,143537,0,143537
132794,2018,899974,0,0,899974,89997,0,89997
152468,2018,1674415,0,0,1674415,214995,0,214995
105098,2018,441538,3729,0,445267,44154,373,44527
154150,2018,1366661,0,0,1366661,159599,0,159599
92350,2018,368738,1444444,0,1813182,36874,144444,181318
92579,2018,2164263,726044,0,2890307,303167,72604,375772
100904,2018,1860900,0,0,1860900,248562,0,248562
96228,2018,2041606,0,0,2041606,281089,0,281089
109806,2018,206375,0,0,206375,20638,0,20638
142756,2018,7542683,3496263,0,11038946,1271283,349626,1620909
81889,2018,211932,0,0,211932,21193,0,21193
132731,2018,2378640,0,0,2378640,341755,0,341755
126289,2018,1409453,0,0,1409453,167302,0,167302
85804,2018,1172078,64080,0,1236158,124574,6408,130982
89611,2018,1438368,0,0,1438368,172506,0,172506
94119,2018,1991452,0,0,1991452,272061,0,272061
111459,2018,0,0,0,0,0,0,0
106601,2018,138722972,15400000,0,154122972,24883735,1540000,26423735
92584,2018,696469,3200000,0,3896469,69647,320000,389647
115249,2018,351540,3666630,85337,4103507,35154,375197,410351
130179,2018,1474548,0,0,1474548,179019,0,179019
87837,2018,0,878498,0,878498,0,87850,87850
140327,2018,1201348,0,0,1201348,129843,0,129843
103752,2018,2382671,5346276,0,7728947,342481,534628,877108
116345,2018,1229027,0,0,1229027,134825,0,134825
127615,2018,1209835,0,0,1209835,131370,0,131370
86852,2018,2221196,0,0,2221196,313415,0,313415
155267,2018,352812,555556,0,908368,35281,55556,90837
93898,2018,1996400,0,0,1996400,272952,0,272952
131688,2018,1448361,0,0,1448361,174305,0,174305
118253,2018,283544,0,0,283544,28354,0,28354
133645,2018,536001,1022778,0,1558779,53600,102278,155878
127948,2018,0,2002589,0,2002589,0,200259,200259
109824,2018,552367,0,0,552367,55237,0,55237
151600,2018,850193,444444,0,1294637,85019,44444,129464
139712,2018,207000,3475925,0,3682925,20700,347592,368292
86751,2018,8347987,19774328,0,28122315,1416238,1977433,3393670
136512,2018,630000,1837,0,631837,63000,184,63184
85212,2018,312262,0,0,312262,31226,0,31226
103499,2018,2940183,0,0,2940183,442833,0,442833
152638,2018,729061,0,0,729061,72906,0,72906
127847,2018,1699909,6755,0,1706664,219584,676,220259
83903,2018,3560468,1536128,0,5096596,554484,153613,708097
83705,2018,351540,0,0,351540,35154,0,35154
